Week,Week_Factor,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
36,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
37,0.0075,696.6,694.8597395550678,139.793544168931,555.0661953861368,834.6532837239988,464.20039167633166,925.5190874338039,369.14078164145855,1020.5786974686771,Market growth + Tsukumo share growth + week seasonality
38,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
39,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
40,0.015,1393.2,1389.7194791101356,279.587088337862,1110.1323907722735,1669.3065674479976,928.4007833526633,1851.0381748676077,738.2815632829171,2041.1573949373542,Market growth + Tsukumo share growth + week seasonality
41,0.015,1393.2,1389.7194791101356,279.587088337862,1110.1323907722735,1669.3065674479976,928.4007833526633,1851.0381748676077,738.2815632829171,2041.1573949373542,Market growth + Tsukumo share growth + week seasonality
42,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
43,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
44,0.025,2322.0,2316.199131850226,465.9784805631043,1850.2206512871217,2782.1776124133303,1547.3346389211038,3085.063624779348,1230.469272138193,3401.928991562259,Market growth + Tsukumo share growth + week seasonality
45,0.05,4644.0,4632.398263700452,931.9569611262086,3700.4413025742433,5564.355224826661,3094.6692778422075,6170.127249558696,2460.938544276386,6803.857983124518,Market growth + Tsukumo share growth + week seasonality
46,0.075,6966.0,6948.597395550678,1397.935441689309,5550.661953861369,8346.532837239987,4642.003916763319,9255.190874338037,3691.4078164145876,10205.78697468677,Market growth + Tsukumo share growth + week seasonality
47,0.05,4644.0,4632.398263700452,931.9569611262086,3700.4413025742433,5564.355224826661,3094.6692778422075,6170.127249558696,2460.938544276386,6803.857983124518,Market growth + Tsukumo share growth + week seasonality
48,0.025,2322.0,2316.199131850226,465.9784805631043,1850.2206512871217,2782.1776124133303,1547.3346389211038,3085.063624779348,1230.469272138193,3401.928991562259,Market growth + Tsukumo share growth + week seasonality
49,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
50,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
51,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
52,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
